Company,forbes,numWords,in_train
HSBC,False,1,True
CNBC,False,1,True
Netflix,True,1,True
Netflix,True,1,True
CNBC,False,1,True
Netflix,True,1,True
Disney,False,1,True
Netflix,True,1,True
Disney,False,1,True
CNBC,False,1,True
Reuters,False,1,True
Business Insider,False,2,True
Shell,False,1,True
Reuters,False,1,True
Reuters,False,1,True
Home Depot Inc,False,3,True
General Motors Co,False,3,True
Reuters,False,1,True
Deloitte,False,1,True
Business Insider,False,2,True
FINRA,False,1,True
FINRA,False,1,True
FINRA,False,1,True
FINRA,False,1,True
FINRA,False,1,True
FINRA,False,1,True
FINRA,False,1,True
Bloomberg,False,1,True
Bloomberg,False,1,True
Boeing,True,1,True
Boeing,True,1,True
Southwest,False,1,True
Southwest,False,1,True
Southwest,False,1,True
Business Insider,False,2,True
SEC,False,1,True
SEC,False,1,True
Wal-Mart,False,1,True
Wal-Mart,False,1,True
Wal-Mart,False,1,True
Reuters,False,1,True
Wal-Mart,False,1,True
Reuters,False,1,True
Wal-Mart,False,1,True
Wal-Mart,False,1,True
Wal-Mart,False,1,True
Wal-Mart,False,1,True
PayPal,True,1,True
IBM,True,1,True
IBM,True,1,True
IBM,True,1,True
IBM,True,1,True
Visa,True,1,True
NASDAQ,True,1,True
Nasdaq,False,1,True
Deutsche Bank,True,2,True
Business Insider,False,2,True
Business Insider,False,2,True
HSBC,False,1,True
Reuters,False,1,True
Pantheon Macroeconomics,False,2,True
Buzzfeed,False,1,True
New York Times,False,3,True
Morgan Stanley,True,2,True
Morgan Stanley,True,2,True
Deutsche Bank,True,2,True
SEC,False,1,True
SEC,False,1,True
PIMCO,False,1,True
PIMCO,False,1,True
PIMCO,False,1,True
Business Insider,False,2,True
Blackstone,False,1,True
Blackstone,False,1,True
Boeing,True,1,True
BlackRock,True,1,True
Deutsche Bank,True,2,True
Goldman Sachs,False,2,True
Nomura,True,1,True
UBS,True,1,True
Credit Suisse,False,2,True
Citigroup,True,1,True
Bank of America,True,3,True
Morgan Stanley,True,2,True
Apple,True,1,True
Wells Fargo,True,2,True
Apple,True,1,True
GM,False,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
NASDAQ,True,1,True
Business Insider,False,2,True
Google,False,1,True
Amazon,True,1,True
Facebook,True,1,True
Chrysler,False,1,True
Ford,False,1,True
GM,False,1,True
Facebook,True,1,True
Bloomberg,False,1,True
Business Insider,False,2,True
Chrysler,False,1,True
Ford,False,1,True
GM,False,1,True
GM,False,1,True
Toyota,False,1,True
Bloomberg,False,1,True
Delta,False,1,True
Business Insider,False,2,True
Merrill Lynch,False,2,True
Bank of America,True,3,True
Apple,True,1,True
Merrill Lynch,False,2,True
Bank of America,True,3,True
Apple,True,1,True
YouTube,False,1,True
PayPal,True,1,True
Facebook,True,1,True
Chrysler,False,1,True
Ford,False,1,True
GM,False,1,True
Toyota,False,1,True
Morgan Stanley,True,2,True
Morgan Stanley,True,2,True
Goldman,False,1,True
Business Insider,False,2,True
Disney,False,1,True
Starbucks,True,1,True
Nike,True,1,True
Google,False,1,True
Amazon,True,1,True
Facebook,True,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Alibaba,True,1,True
Yahoo,False,1,True
Oracle,True,1,True
Foursquare,False,1,True
Facebook,True,1,True
Business Insider,False,2,True
Yelp,False,1,True
Skype,False,1,True
Business Insider,False,2,True
CNBC,False,1,True
Hertz,False,1,True
Hertz,False,1,True
Hertz,False,1,True
CNBC,False,1,True
Hertz,False,1,True
FlightAware,False,1,True
CBS,True,1,True
UBS,True,1,True
Nasdaq,False,1,True
NASA,False,1,True
Reuters,False,1,True
Jaguar Land Rover,False,3,True
Reuters,False,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing Commercial Airplanes,False,3,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Boeing,True,1,True
Reuters,False,1,True
Tyco,False,1,True
Tyco,False,1,True
Facebook,True,1,True
CNBC,False,1,True
Bloomberg,False,1,True
CNBC,False,1,True
UPS,False,1,True
UPS,False,1,True
UPS,False,1,True
FedEx,True,1,True
IBM,True,1,True
IBM,True,1,True
IBM,True,1,True
Goldman Sachs,False,2,True
Central Park Group,False,3,True
Conway,False,1,True
Crain Communications Inc,False,3,True
Reuters,False,1,True
Reuters,False,1,True
HSBC,False,1,True
Goldman,False,1,True
BitPay,False,1,True
Fortress Investment Group,False,3,True
Reuters,False,1,True
Reuters,False,1,True
Reuters,False,1,True
Reuters,False,1,True
CBS,True,1,True
Apple,True,1,True
WSJ,False,1,True
UBS,True,1,True
New York Times,False,3,True
Business Insider,False,2,True
SEC,False,1,True
Blackstone,False,1,True
Business Insider,False,2,True
The Washington Post,False,3,True
Business Insider,False,2,True
Sony,True,1,True
Canon,True,1,True
NASA,False,1,True
NASDAQ,True,1,True
NASDAQ,True,1,True
Blackstone Group,False,2,True
Morgan Stanley,True,2,True
Blackstone,False,1,True
Blackstone,False,1,True
Blackstone,False,1,True
Blackstone,False,1,True
Blackstone,False,1,True
Templeton Emerging Markets Group,False,4,True
Frontline,False,1,True
SAC Capital,False,2,True
eBay,True,1,True
eBay,True,1,True
SAC,False,1,True
eBay,True,1,True
Frontline,False,1,True
SAC,False,1,True
Estimize,False,1,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Estimize,False,1,True
Caterpillar,True,1,True
Caterpillar,True,1,True
Nasdaq,False,1,True
Microsoft,True,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Google,False,1,True
LinkedIn,False,1,True
Gilead Sciences,True,2,True
SAC Capital,False,2,True
Fairfax Financial,True,2,True
Bloomberg,False,1,True
Frontline,False,1,True
Frontline,False,1,True
SAC,False,1,True
SAC,False,1,True
Bloomberg,False,1,True
JPMorgan,False,1,True
Nanex,False,1,True
Nanex,False,1,True
Morgan Stanley,True,2,True
UBS,True,1,True
Bloomberg,False,1,True
UBS,True,1,True
Bloomberg,False,1,True
UBS,True,1,True
UBS,True,1,True
Bloomberg,False,1,True
UBS,True,1,True
Elan Corporation,False,2,True
Yahoo,False,1,True
Netflix,True,1,True
Google,False,1,True
Amazon,True,1,True
Ebay,False,1,True
AOL,False,1,True
Stratasys,False,1,True
Sears Holdings,True,2,True
Select Comfort Corporation,False,3,True
Tyson Foods,True,2,True
Google,False,1,True
Amazon,True,1,True
AOL,False,1,True
Morgan Stanley,True,2,True
WSJ,False,1,True
Samsung,False,1,True
Panasonic,True,1,True
Huawei,False,1,True
Samsung,False,1,True
Sony,True,1,True
Frontline,False,1,True
Intel,True,1,True
Frontline,False,1,True
Reuters,False,1,True
Verizon,False,1,True
Pacific Investment Management Co,False,4,True
Reuters,False,1,True
PIMCO,False,1,True
PIMCO,False,1,True
Frontline,False,1,True
SAC Capital,False,2,True
SAC,False,1,True
Galleon Group,False,2,True
Amazon,True,1,True
Amazon,True,1,True
Frontline,False,1,True
JPMorgan,False,1,True
JPMorgan,False,1,True
JPMorgan,False,1,True
Reuters,False,1,True
Reuters,False,1,True
JPMorgan,False,1,True
JPMorgan,False,1,True
Reuters,False,1,True
Reuters,False,1,True
UBS,True,1,True
Reuters,False,1,True
Apple,True,1,True
Samsung,False,1,True
HSBC,False,1,True
Societe Generale,False,2,True
Overstock.com,False,1,True
Overstock.com,False,1,True
Overstock.com,False,1,True
Nintendo Co Ltd,False,3,True
Microsoft Corp,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Samsung,False,1,True
Estimize,False,1,True
Estimize,False,1,True
HP,True,1,True
HP,True,1,True
HP,True,1,True
Business Insider,False,2,True
The Washington Post,False,3,True
HP,True,1,True
Business Insider,False,2,True
HP,True,1,True
HP,True,1,True
Amazon,True,1,True
Chipotle,False,1,True
Tesla,True,1,True
Morgan Stanley,True,2,True
Netflix,True,1,True
Amazon,True,1,True
Netflix,True,1,True
CNBC,False,1,True
Business Insider,False,2,True
Bloomberg,False,1,True
BlackRock,True,1,True
Merrill Lynch,False,2,True
UBS,True,1,True
Forbes,False,1,True
Tyco International,False,2,True
Tyco,False,1,True
Tyco,False,1,True
Tyco,False,1,True
Tyco,False,1,True
Tyco,False,1,True
Tyco,False,1,True
Tyco,False,1,True
Tyco,False,1,True
Deutsche Bank,True,2,True
CoreLogic,False,1,True
CoreLogic,False,1,True
CoreLogic,False,1,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
SAC Capital,False,2,True
SAC Capital,False,2,True
SAC,False,1,True
Frontline,False,1,True
Chase,False,1,True
JPMorgan,False,1,True
JPMorgan,False,1,True
JPMorgan,False,1,True
WSJ,False,1,True
Samsung,False,1,True
MGM,False,1,True
MSFT,False,1,True
Eurasia Group,False,2,True
Reuters,False,1,True
Samsung,False,1,True
Apple,True,1,True
Apple,True,1,True
Microsoft,True,1,True
General Motors,True,2,True
Audi,False,1,True
Honda,False,1,True
Apple,True,1,True
BlackBerry,False,1,True
Google,False,1,True
Google,False,1,True
Toyota,False,1,True
Toyota,False,1,True
Toyota,False,1,True
Toyota,False,1,True
Honda,False,1,True
Honda,False,1,True
Toyota,False,1,True
Reuters,False,1,True
UBS,True,1,True
UBS,True,1,True
UBS,True,1,True
Reuters,False,1,True
UBS,True,1,True
UBS,True,1,True
UBS,True,1,True
Goldman,False,1,True
Reuters,False,1,True
Reuters,False,1,True
Microsoft Corp,False,2,True
Nintendo Co Ltd,False,3,True
Reuters,False,1,True
Microsoft,True,1,True
Reuters,False,1,True
UBS,True,1,True
Bank of America,True,3,True
Societe Generale,False,2,True
Forbes,False,1,True
Forbes,False,1,True
SkyBridge Capital,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Morgan Stanley,True,2,True
Morgan Stanley,True,2,True
Morgan Stanley,True,2,True
Reuters,False,1,True
Bloomberg,False,1,True
Macy,False,1,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Amazon,True,1,True
Boeing,True,1,True
Morgan Stanley,True,2,True
Business Insider,False,2,True
RBS,False,1,True
Business Insider,False,2,True
Bloomberg,False,1,True
Nomura,True,1,True
Chipotle,False,1,True
UBS,True,1,True
UBS,True,1,True
UBS,True,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SoftBank,False,1,True
SAC,False,1,True
SAC,False,1,True
Soros Fund Management,False,3,True
eBay,True,1,True
SAC Capital,False,2,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
SAC,False,1,True
Bank of America,True,3,True
Bank of America,True,3,True
Bank of America,True,3,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Blackstone,False,1,True
Blackstone,False,1,True
Business Insider,False,2,True
Business Insider,False,2,True
Belus Capital Advisors,False,3,True
Bloomberg,False,1,True
Glenview Capital,False,2,True
Bloomberg,False,1,True
Bloomberg,False,1,True
IBM,True,1,True
Boeing,True,1,True
Goldman Sachs,False,2,True
SolarCity,False,1,True
Goldman,False,1,True
Deutsche Bank,True,2,True
SolarCity,False,1,True
Goldman,False,1,True
Goldman,False,1,True
SolarCity,False,1,True
Goldman,False,1,True
Deutsche Bank,True,2,True
Goldman,False,1,True
Goldman,False,1,True
Deutsche Bank,True,2,True
Deutsche Bank,True,2,True
Goldman,False,1,True
Deutsche Bank,True,2,True
SunRun,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Apple,True,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Alcoa,True,1,True
Nasdaq,False,1,True
MSFT,False,1,True
WSJ,False,1,True
Ford,False,1,True
Microsoft,True,1,True
Reuters,False,1,True
Reuters,False,1,True
Microsoft,True,1,True
Morgan Stanley,True,2,True
Yahoo,False,1,True
New York Times,False,3,True
Cantor Fitzgerald,False,2,True
Reuters,False,1,True
Commerzbank,True,1,True
Reuters,False,1,True
Alibaba,True,1,True
Glenview Capital,False,2,True
Kraft Foods Group,False,3,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
New York Times,False,3,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Yahoo,False,1,True
Google,False,1,True
Yahoo,False,1,True
Facebook,True,1,True
Yahoo,False,1,True
Huawei,False,1,True
Reuters,False,1,True
Reuters,False,1,True
Microsoft,True,1,True
Microsoft,True,1,True
Reuters,False,1,True
Microsoft,True,1,True
Microsoft,True,1,True
Ford,False,1,True
Reuters,False,1,True
Microsoft,True,1,True
Microsoft,True,1,True
Ford,False,1,True
Microsoft,True,1,True
Ford,False,1,True
Ford,False,1,True
Microsoft,True,1,True
Microsoft,True,1,True
Microsoft,True,1,True
Ford,False,1,True
Ford,False,1,True
SEC,False,1,True
SEC,False,1,True
JPMorgan,False,1,True
Reuters,False,1,True
Reuters,False,1,True
Goldman,False,1,True
Reuters,False,1,True
Alibaba,True,1,True
Alibaba,True,1,True
Alibaba,True,1,True
Alibaba,True,1,True
Alibaba,True,1,True
Alibaba,True,1,True
CNBC,False,1,True
Business Insider,False,2,True
Business Insider,False,2,True
Deutsche Bank,True,2,True
PIMCO,False,1,True
Reuters,False,1,True
SAC Capital,False,2,True
Elan Corp,False,2,True
Wyeth,False,1,True
SAC Capital,False,2,True
SAC Capital,False,2,True
SAC Capital,False,2,True
Bloomberg,False,1,True
Deutsche Bank,True,2,True
Pantheon Macroeconomics,False,2,True
Alcoa,True,1,True
Sears,False,1,True
Sears,False,1,True
Belus Capital Advisors,False,3,True
Sears,False,1,True
Sears,False,1,True
Sears,False,1,True
Sears,False,1,True
Macy,False,1,True
JCPenney,False,1,True
Wal-Mart,False,1,True
Target,True,1,True
Sears,False,1,True
Sears,False,1,True
Belus Capital Advisors,False,3,True
Sears Holdings,True,2,True
Sears,False,1,True
Sears Holdings,True,2,True
Sears,False,1,True
Sears Holdings Corporation,False,3,True
Sears Canada,False,2,True
Sears,False,1,True
Sears,False,1,True
Sears,False,1,True
Sears Canada,False,2,True
SAC,False,1,True
Sears Canada,False,2,True
Deutsche Bank,True,2,True
Bloomberg,False,1,True
Deutsche Bank,True,2,True
Pantheon Macroeconomics,False,2,True
Deutsche Bank,True,2,True
SolarCity,False,1,True
SocGen,False,1,True
Amazon,True,1,True
Apple,True,1,True
Belus Capital Advisors,False,3,True
Apple,True,1,True
Amazon,True,1,True
Facebook,True,1,True
Goldman Sachs,False,2,True
Goldman,False,1,True
PIMCO,False,1,True
Business Insider,False,2,True
Goldman Sachs,False,2,True
Goldman Sachs,False,2,True
Credit Suisse,False,2,True
Reuters,False,1,True
Pantheon Macroeconomics,False,2,True
Bloomberg,False,1,True
Reuters,False,1,True
WSJ,False,1,True
Visa,True,1,True
Reuters,False,1,True
Macy,False,1,True
IBM,True,1,True
IBM,True,1,True
IBM,True,1,True
IBM,True,1,True
BlackRock,True,1,True
Reuters,False,1,True
Apple Inc,False,2,True
Samsung Electronics,True,2,True
Apple,True,1,True
Apple,True,1,True
Samsung,False,1,True
Samsung,False,1,True
Apple,True,1,True
Samsung,False,1,True
Apple,True,1,True
Apple,True,1,True
Samsung,False,1,True
Apple Inc,False,2,True
Samsung Electronics Co Ltd,False,4,True
Reuters,False,1,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
WSJ,False,1,True
News Corp,True,2,True
Fox,True,1,True
Business Insider,False,2,True
BMO Capital Markets,False,3,True
BMO Capital Markets,False,3,True
Vanguard,False,1,True
Vanguard,False,1,True
Vanguard,False,1,True
Reuters,False,1,True
Bank of America,True,3,True
Reuters,False,1,True
WSJ,False,1,True
Business Insider,False,2,True
WSJ,False,1,True
WSJ,False,1,True
Fox,True,1,True
WSJ,False,1,True
WSJ,False,1,True
JPMorgan Chase,True,2,True
Reuters,False,1,True
Dow Jones,False,2,True
Dow Jones,False,2,True
Dow Jones,False,2,True
Reuters,False,1,True
Duquesne Capital Management,False,3,True
Bloomberg,False,1,True
ESL Investments,False,2,True
Sears,False,1,True
Bloomberg,False,1,True
Sears,False,1,True
Sears,False,1,True
ESL Investments,False,2,True
Bloomberg,False,1,True
Sears,False,1,True
Sears Holdings,True,2,True
Sears,False,1,True
Yahoo,False,1,True
Dow Jones,False,2,True
Nasdaq,False,1,True
Citigroup,True,1,True
The Carlyle Group,False,3,True
Jeffries,False,1,True
Business Insider,False,2,True
Sears,False,1,True
Sears,False,1,True
Sears,False,1,True
Goldman Sachs,False,2,True
Bloomberg,False,1,True
Deutsche Bank,True,2,True
Goldman Sachs,False,2,True
Bloomberg,False,1,True
Bloomberg,False,1,True
Bloomberg,False,1,True
Target,True,1,True
Target,True,1,True
Target,True,1,True
Target,True,1,True
Target,True,1,True
Target,True,1,True
Target,True,1,True
Target,True,1,True
Target,True,1,True
MSFT,False,1,True
Bloomberg,False,1,True
WSJ,False,1,True
Sears,False,1,True
Reuters,False,1,True
T-Mobile,False,1,True
Verizon,False,1,True
T-Mobile,False,1,True
Verizon,False,1,True
Sprint,False,1,True
T-Mobile,False,1,True
T-Mobile,False,1,True
Verizon,False,1,True
Intel,True,1,True
Samsung,False,1,True
Apple,True,1,True
Sony,True,1,True
Reuters,False,1,True
Nomura,True,1,True
Deutsche Bank,True,2,True
Merrill Lynch,False,2,True
Reuters,False,1,True
Bank of America,True,3,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Amazon,True,1,True
Boeing,True,1,True
Reuters,False,1,True
Bloomberg,False,1,True
Reuters,False,1,True
Sprint Corp,False,2,True
T-Mobile,False,1,True
Sprint,False,1,True
T-Mobile,False,1,True
Verizon,False,1,True
T-Mobile,False,1,True
Verizon,False,1,True
T-Mobile,False,1,True
Sprint,False,1,True
SoftBank,False,1,True
Sprint,False,1,True
T-Mobile,False,1,True
T-Mobile,False,1,True
T-Mobile,False,1,True
T-Mobile,False,1,True
Sprint,False,1,True
Verizon,False,1,True
Verizon Communications,True,2,True
Sprint,False,1,True
T-Mobile,False,1,True
T-Mobile,False,1,True
Deutsche Bank,True,2,True
BlackRock,True,1,True
Merrill Lynch,False,2,True
Reuters,False,1,True
Gallup,False,1,True
Business Insider,False,2,True
Vanguard Investment Strategy Group,False,4,True
Business Insider,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
BMW,False,1,True
Uber,False,1,True
Uber,False,1,True
Business Insider,False,2,True
Napster,False,1,True
Napster,False,1,True
Napster,False,1,True
Napster,False,1,True
Uber,False,1,True
Disney,False,1,True
American Airlines,False,2,True
American Airlines,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Google,False,1,True
AOL,False,1,True
Microsoft,True,1,True
Googler,False,1,True
Google,False,1,True
Uber,False,1,True
Foursquare,False,1,True
Uber,False,1,True
Napster,False,1,True
Uber,False,1,True
Uber,False,1,True
Lyft,True,1,True
Lyft,True,1,True
Uber,False,1,True
Uber,False,1,True
Uber,False,1,True
Uber,False,1,True
Uber,False,1,True
Reuters,False,1,True
SocGen,False,1,True
SocGen,False,1,True
Bloomberg,False,1,True
Bloomberg,False,1,True
Google,False,1,True
Google,False,1,True
Zillow,False,1,True
Google,False,1,True
Google,False,1,True
Goldman Sachs,False,2,True
Citigroup,True,1,True
Fannie Mae,True,2,True
Freddie Mac,True,2,True
Bank of America,True,3,True
Goldman Sachs,False,2,True
Goldman Sachs,False,2,True
McDonalds,False,1,True
McDonalds,False,1,True
McDonalds,False,1,True
McDonalds,False,1,True
Bloomberg,False,1,True
McDonalds,False,1,True
NBC,False,1,True
PIMCO,False,1,True
GM,False,1,True
GM,False,1,True
Business Insider,False,2,True
Ford,False,1,True
Chrysler,False,1,True
Boston Consulting Group,False,3,True
GM,False,1,True
Ford,False,1,True
Chrysler,False,1,True
Ford,False,1,True
Fiat,False,1,True
Ford,False,1,True
Chrysler,False,1,True
Ford,False,1,True
Chrysler,False,1,True
Ford,False,1,True
Ford,False,1,True
Ford,False,1,True
Ford,False,1,True
Ford,False,1,True
Ford,False,1,True
Ford,False,1,True
Chrysler,False,1,True
Chrysler,False,1,True
Fiat,False,1,True
Citi,False,1,True
CNBC,False,1,True
CNBC,False,1,True
HP,True,1,True
Dell,False,1,True
Dell,False,1,True
HP,True,1,True
EMC,False,1,True
HP,True,1,True
HP,True,1,True
HP,True,1,True
HP,True,1,True
EMC,False,1,True
HP,True,1,True
HP,True,1,True
Overstock.com,False,1,True
Amazon,True,1,True
Reuters,False,1,True
Thomson Reuters,True,2,True
Thomson Reuters,True,2,True
Goldman Sachs,False,2,True
Goldman Sachs,False,2,True
Thomson Reuters,True,2,True
Thomson Reuters,True,2,True
Thomson Reuters,True,2,True
JPMorgan Chase,True,2,True
Intel Corp,False,2,True
General Electric,True,2,True
Reuters,False,1,True
Reuters,False,1,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Goldman,False,1,True
Business Insider,False,2,True
Reuters,False,1,True
Reuters,False,1,True
Business Insider,False,2,True
Business Insider,False,2,True
WSJ,False,1,True
CNBC,False,1,True
Goldman Sachs,False,2,True
Morgan Stanley,True,2,True
Morgan Stanley,True,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Google,False,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Google,False,1,True
Apple,True,1,True
Google,False,1,True
Google,False,1,True
Apple,True,1,True
Google,False,1,True
Apple,True,1,True
Apple,True,1,True
Google,False,1,True
Google,False,1,True
Google,False,1,True
Google,False,1,True
JP Morgan Chase,False,3,True
JPMorgan Chase,True,2,True
Bloomberg,False,1,True
Credit Suisse,False,2,True
Morgan Stanley,True,2,True
PayPal,True,1,True
Apple,True,1,True
Apple,True,1,True
Amazon,True,1,True
Amazon,True,1,True
Amazon,True,1,True
Amazon,True,1,True
Amazon,True,1,True
Amazon,True,1,True
Amazon,True,1,True
Wal-Mart,False,1,True
Overstock.com,False,1,True
Overstock.com,False,1,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Bloomberg,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Citigroup,True,1,True
Goldman,False,1,True
Bank of America,True,3,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Morgan Stanley,True,2,True
Morgan Stanley,True,2,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Goldman,False,1,True
Bloomberg,False,1,True
Bloomberg,False,1,True
Goldman,False,1,True
Goldman Sachs,False,2,True
Bank of America,True,3,True
Bank of America,True,3,True
JPMorgan,False,1,True
Goldman Sachs,False,2,True
Bank of America,True,3,True
Goldman Sachs,False,2,True
Gallup,False,1,True
BBC,False,1,True
Nasdaq,False,1,True
Goldman,False,1,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Reuters,False,1,True
McKinsey,False,1,True
Goldman Sachs,False,2,True
Morgan Stanley,True,2,True
Credit Suisse,False,2,True
RBS,False,1,True
UBS,True,1,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
Credit Suisse,False,2,True
RBS,False,1,True
Deutsche Bank,True,2,True
Deutsche,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Goldman,False,1,True
JPMorgan,False,1,True
JPMorgan,False,1,True
Morgan Stanley,True,2,True
Nomura,True,1,True
Audi,False,1,True
Audi,False,1,True
Nomura,True,1,True
Goldman,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Goldman,False,1,True
Merrill Lynch,False,2,True
Cantor Fitzgerald,False,2,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Goldman Sachs,False,2,True
Lululemon,False,1,True
Lululemon,False,1,True
Lululemon,False,1,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Business Insider,False,2,True
Lululemon,False,1,True
Nomura,True,1,True
Nomura,True,1,True
BlackRock,True,1,True
BlackRock,True,1,True
BlackRock,True,1,True
Goldman Sachs,False,2,True
Goldman,False,1,True
Bloomberg,False,1,True
Pershing Square Capital,False,3,True
Bloomberg,False,1,True
Wendy's,False,1,True
Belus Capital Advisors,False,3,True
Business Insider,False,2,True
Lululemon,False,1,True
Lululemon,False,1,True
Lululemon,False,1,True
Morgan Stanley,True,2,True
Reuters,False,1,True
Credit Suisse,False,2,True
GE,False,1,True
Lululemon,False,1,True
New York Times,False,3,True
Target,True,1,True
CNBC,False,1,True
Target,True,1,True
Reuters,False,1,True
Freddie Mac,True,2,True
Fannie Mae,True,2,True
Lululemon,False,1,True
Reuters,False,1,True
BBC,False,1,True
Reuters,False,1,True
Goldman,False,1,True
Goldman Sachs,False,2,True
Goldman Sachs,False,2,True
Goldman Sachs,False,2,True
Morgan Stanley,True,2,True
Bloomberg,False,1,True
Facebook,True,1,True
Alibaba,True,1,True
Amazon,True,1,True
Business Insider,False,2,True
Spectrem Group,False,2,True
Reuters,False,1,True
Reuters,False,1,True
TD Ameritrade Holding Corp,False,4,True
Goldman Sachs,False,2,True
Wells Fargo,True,2,True
Chipotle,False,1,True
Apple,True,1,True
JC Penney,True,2,True
Business Insider,False,2,True
Macy,False,1,True
GM,False,1,True
GM,False,1,True
Starbucks,True,1,True
eBay,True,1,True
Bloomberg,False,1,True
Bloomberg,False,1,True
Blackstone,False,1,True
Tesla,True,1,True
Tesla,True,1,True
Tesla,True,1,True
Tesla,True,1,True
Panasonic,True,1,True
Tesla,True,1,True
Panasonic,True,1,True
Bloomberg,False,1,True
Business Insider,False,2,True
Google,False,1,True
Google,False,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Google,False,1,True
Apple,True,1,True
Google,False,1,True
Google,False,1,True
Apple,True,1,True
Google,False,1,True
Apple,True,1,True
Apple,True,1,True
Amazon,True,1,True
Google,False,1,True
Apple,True,1,True
Apple,True,1,True
Apple,True,1,True
Estimize,False,1,True
Estimize,False,1,True
Tesla,True,1,True
Bloomberg,False,1,True
Business Insider,False,2,True
Business Insider,False,2,True
Bloomberg,False,1,True
Morgan Stanley,True,2,True
